Cod Cli,SKU,Metrics,Vol Paq
1020117,SKU 25,,20
1020117,SKU 10,,20
1020117,SKU 11,,210
1020117,SKU 12,,140
1020117,SKU 13,,190
1020117,SKU 17,,30
1020117,SKU 18,,30
1020117,SKU 19,,20
1020117,SKU 26,,30
1020117,SKU 14,,190
1020117,SKU 15,,330
1020117,SKU 20,,10
1030145,SKU 1,,5
1030145,SKU 2,,5
1030145,SKU 3,,45
1030145,SKU 7,,45
1030145,SKU 8,,100
1030145,SKU 9,,15
1030145,SKU 10,,15
1030145,SKU 11,,50
1030145,SKU 12,,10
1030145,SKU 13,,15
1030145,SKU 14,,5
1030145,SKU 15,,6
1030218,SKU 1,,10
1030218,SKU 2,,5
1030218,SKU 3,,5
1030218,SKU 5,,10
1030218,SKU 6,,5
1030218,SKU 8,,50
1030218,SKU 9,,30
1030218,SKU 11,,20
1030218,SKU 12,,10
1030244,SKU 1,,5
1030244,SKU 3,,5
1030244,SKU 21,,6
1030244,SKU 5,,10
1030244,SKU 7,,25
1030244,SKU 22,,10
1030244,SKU 8,,95
1030244,SKU 9,,20
1030244,SKU 10,,20
1030244,SKU 11,,70
1030244,SKU 12,,40
1030244,SKU 13,,10
1030244,SKU 18,,5
1030244,SKU 14,,1
1030244,SKU 15,,55
1050038,SKU 1,,50
1050038,SKU 2,,50
1050038,SKU 16,,100
1050038,SKU 7,,350
1050038,SKU 8,,351
1050038,SKU 9,,501
1050038,SKU 10,,150
1050038,SKU 11,,101
1050038,SKU 12,,101
1050038,SKU 13,,1
1050038,SKU 14,,151
1050038,SKU 15,,501
1050038,SKU 20,,200
1050040,SKU 1,,20
1050040,SKU 2,,60
1050040,SKU 3,,20
1050040,SKU 27,,25
1050040,SKU 5,,20
1050040,SKU 16,,20
1050040,SKU 6,,10
1050040,SKU 7,,280
1050040,SKU 22,,10
1050040,SKU 8,,410
1050040,SKU 9,,510
1050040,SKU 25,,140
1050040,SKU 10,,230
1050040,SKU 11,,290
1050040,SKU 12,,120
1050040,SKU 13,,90
1050040,SKU 17,,10
1050040,SKU 18,,5
1050040,SKU 14,,80
1050040,SKU 15,,80
1050041,SKU 1,,40
1050041,SKU 2,,110
1050041,SKU 3,,60
1050041,SKU 16,,60
1050041,SKU 7,,270
1050041,SKU 8,,391
1050041,SKU 9,,231
1050041,SKU 25,,80
1050041,SKU 10,,120
1050041,SKU 11,,51
1050041,SKU 12,,101
1050041,SKU 13,,51
1050041,SKU 19,,50
1050041,SKU 14,,41
1050041,SKU 15,,151
1050041,SKU 20,,30
1050044,SKU 1,,1
1050044,SKU 28,,20
1050044,SKU 2,,251
1050044,SKU 3,,151
1050044,SKU 5,,12
1050044,SKU 16,,31
1050044,SKU 6,,51
1050044,SKU 7,,301
1050044,SKU 22,,1
1050044,SKU 24,,1
1050044,SKU 8,,400
1050044,SKU 9,,801
1050044,SKU 25,,1
1050044,SKU 10,,1
1050044,SKU 11,,301
1050044,SKU 12,,651
1050044,SKU 13,,251
1050044,SKU 17,,1
1050044,SKU 18,,1
1050044,SKU 19,,151
1050044,SKU 26,,5
1050044,SKU 14,,161
1050044,SKU 15,,301
1050044,SKU 20,,5
1050064,SKU 1,,10
1050064,SKU 2,,80
1050064,SKU 3,,80
1050064,SKU 27,,25
1050064,SKU 29,,25
1050064,SKU 21,,10
1050064,SKU 5,,10
1050064,SKU 16,,5
1050064,SKU 6,,20
1050064,SKU 7,,40
1050064,SKU 22,,80
1050064,SKU 24,,80
1050064,SKU 8,,340
1050064,SKU 9,,350
1050064,SKU 25,,240
1050064,SKU 10,,30
1050064,SKU 11,,270
1050064,SKU 12,,320
1050064,SKU 13,,370
1050064,SKU 17,,50
1050064,SKU 18,,50
1050064,SKU 19,,5
1050064,SKU 14,,60
1050064,SKU 15,,160
1050083,SKU 2,,10
1050083,SKU 7,,10
1050083,SKU 8,,21
1050083,SKU 9,,21
1050083,SKU 10,,10
1050083,SKU 11,,11
1050083,SKU 12,,11
1050083,SKU 13,,11
1050083,SKU 14,,1
1050083,SKU 15,,23
1050093,SKU 8,,115
1050093,SKU 9,,15
1050093,SKU 11,,10
1050093,SKU 12,,10
1050093,SKU 13,,1
1050093,SKU 14,,6
1050093,SKU 15,,1
1050099,SKU 1,,10
1050099,SKU 30,,10
1050099,SKU 2,,30
1050099,SKU 3,,30
1050099,SKU 29,,50
1050099,SKU 4,,3
1050099,SKU 21,,2
1050099,SKU 5,,40
1050099,SKU 16,,60
1050099,SKU 6,,20
1050099,SKU 7,,30
1050099,SKU 22,,30
1050099,SKU 8,,520
1050099,SKU 9,,460
1050099,SKU 25,,10
1050099,SKU 10,,5
1050099,SKU 11,,280
1050099,SKU 12,,130
1050099,SKU 13,,200
1050099,SKU 17,,20
1050099,SKU 18,,50
1050099,SKU 26,,10
1050099,SKU 14,,40
1050099,SKU 15,,110
1050099,SKU 20,,5
1050111,SKU 1,,10
1050111,SKU 28,,10
1050111,SKU 2,,50
1050111,SKU 3,,45
1050111,SKU 5,,35
1050111,SKU 6,,10
1050111,SKU 7,,50
1050111,SKU 22,,10
1050111,SKU 24,,15
1050111,SKU 8,,410
1050111,SKU 9,,440
1050111,SKU 25,,10
1050111,SKU 10,,15
1050111,SKU 11,,320
1050111,SKU 12,,180
1050111,SKU 13,,280
1050111,SKU 17,,50
1050111,SKU 18,,70
1050111,SKU 26,,25
1050111,SKU 14,,130
1050111,SKU 15,,210
1050127,SKU 1,,20
1050127,SKU 2,,20
1050127,SKU 21,,2
1050127,SKU 8,,91
1050127,SKU 9,,61
1050127,SKU 11,,31
1050127,SKU 12,,41
1050127,SKU 13,,21
1050127,SKU 14,,1
1050127,SKU 15,,1
1050157,SKU 1,,10
1050157,SKU 2,,30
1050157,SKU 3,,10
1050157,SKU 16,,5
1050157,SKU 6,,5
1050157,SKU 7,,15
1050157,SKU 22,,10
1050157,SKU 8,,100
1050157,SKU 9,,55
1050157,SKU 10,,35
1050157,SKU 11,,50
1050157,SKU 12,,60
1050157,SKU 13,,20
1050157,SKU 14,,10
1050157,SKU 15,,6
1050159,SKU 2,,10
1050159,SKU 3,,5
1050159,SKU 5,,10
1050159,SKU 16,,5
1050159,SKU 6,,5
1050159,SKU 8,,80
1050159,SKU 9,,30
1050159,SKU 25,,5
1050159,SKU 11,,60
1050159,SKU 12,,20
1050159,SKU 13,,15
1050159,SKU 14,,11
1050159,SKU 15,,1
1050159,SKU 20,,5
1050215,SKU 1,,20
1050215,SKU 2,,10
1050215,SKU 8,,50
1050215,SKU 9,,30
1050215,SKU 11,,40
1050215,SKU 12,,30
1050215,SKU 13,,1
1050215,SKU 14,,1
1050215,SKU 15,,1
1055032,SKU 10,,120
1055032,SKU 12,,10
1055032,SKU 14,,1
1055032,SKU 15,,60
1055035,SKU 1,,10
1055035,SKU 2,,25
1055035,SKU 21,,10
1055035,SKU 7,,20
1055035,SKU 8,,41
1055035,SKU 9,,26
1055035,SKU 10,,15
1055035,SKU 11,,51
1055035,SKU 12,,11
1055035,SKU 13,,6
1055035,SKU 14,,1
1055035,SKU 15,,23
1055067,SKU 1,,10
1055067,SKU 3,,5
1055067,SKU 8,,60
1055067,SKU 9,,30
1055067,SKU 10,,25
1055067,SKU 11,,20
1055067,SKU 12,,5
1055067,SKU 13,,30
1055067,SKU 14,,1
1055067,SKU 15,,10
1055154,SKU 7,,30
1055154,SKU 8,,1
1055154,SKU 9,,11
1055154,SKU 11,,11
1055154,SKU 12,,11
1055154,SKU 13,,16
1055154,SKU 14,,1
1055154,SKU 15,,2
1055181,SKU 1,,30
1055181,SKU 2,,15
1055181,SKU 16,,30
1055181,SKU 7,,90
1055181,SKU 8,,110
1055181,SKU 9,,50
1055181,SKU 25,,60
1055181,SKU 10,,140
1055181,SKU 11,,80
1055181,SKU 12,,30
1055181,SKU 13,,60
1055181,SKU 14,,5
1055181,SKU 15,,6
1055237,SKU 1,,15
1055237,SKU 2,,80
1055237,SKU 3,,30
1055237,SKU 5,,10
1055237,SKU 16,,30
1055237,SKU 6,,10
1055237,SKU 7,,50
1055237,SKU 8,,350
1055237,SKU 9,,190
1055237,SKU 10,,70
1055237,SKU 11,,110
1055237,SKU 12,,60
1055237,SKU 13,,10
1055237,SKU 18,,10
1055237,SKU 14,,52
1055237,SKU 15,,41
1055237,SKU 20,,40
1060023,SKU 1,,80
1060023,SKU 28,,20
1060023,SKU 2,,210
1060023,SKU 3,,50
1060023,SKU 21,,20
1060023,SKU 5,,20
1060023,SKU 6,,20
1060023,SKU 7,,140
1060023,SKU 8,,400
1060023,SKU 9,,240
1060023,SKU 25,,370
1060023,SKU 10,,120
1060023,SKU 11,,280
1060023,SKU 12,,210
1060023,SKU 13,,260
1060023,SKU 17,,30
1060023,SKU 18,,30
1060023,SKU 14,,30
1060023,SKU 15,,170
1060042,SKU 2,,150
1060042,SKU 7,,150
1060042,SKU 9,,100
1060042,SKU 12,,200
1060042,SKU 14,,150
1060042,SKU 15,,150
1065178,SKU 1,,50
1065178,SKU 2,,20
1065178,SKU 3,,10
1065178,SKU 7,,50
1065178,SKU 8,,60
1065178,SKU 9,,50
1065178,SKU 10,,10
1065178,SKU 11,,60
1065178,SKU 12,,20
1065178,SKU 13,,10
1065178,SKU 14,,1
1065178,SKU 15,,50
1065207,SKU 16,,20
1065207,SKU 8,,21
1065207,SKU 9,,21
1065207,SKU 11,,21
1065207,SKU 12,,1
1065207,SKU 13,,1
1065207,SKU 14,,1
1065207,SKU 15,,1
1065210,SKU 1,,25
1065210,SKU 28,,5
1065210,SKU 2,,5
1065210,SKU 7,,70
1065210,SKU 8,,25
1065210,SKU 9,,20
1065210,SKU 11,,30
1065210,SKU 13,,5
1065210,SKU 15,,1
1070017,SKU 1,,10
1070017,SKU 2,,10
1070017,SKU 3,,90
1070017,SKU 4,,2
1070017,SKU 21,,8
1070017,SKU 16,,10
1070017,SKU 6,,10
1070017,SKU 7,,60
1070017,SKU 24,,10
1070017,SKU 8,,10
1070017,SKU 9,,110
1070017,SKU 10,,120
1070017,SKU 11,,150
1070017,SKU 12,,100
1070017,SKU 13,,50
1070017,SKU 17,,5
1070017,SKU 18,,5
1070017,SKU 19,,60
1070017,SKU 14,,1
1070017,SKU 15,,1
1070017,SKU 23,,120
1070023,SKU 1,,70
1070023,SKU 2,,40
1070023,SKU 7,,45
1070023,SKU 8,,81
1070023,SKU 9,,56
1070023,SKU 10,,20
1070023,SKU 11,,81
1070023,SKU 12,,46
1070023,SKU 13,,1
1070023,SKU 18,,30
1070023,SKU 19,,40
1070023,SKU 14,,1
1070023,SKU 15,,1
1070029,SKU 2,,300
1070029,SKU 16,,50
1070029,SKU 7,,250
1070029,SKU 8,,800
1070029,SKU 9,,600
1070029,SKU 10,,200
1070029,SKU 11,,210
1070029,SKU 12,,400
1070029,SKU 13,,300
1070029,SKU 17,,30
1070029,SKU 14,,210
1070029,SKU 15,,10
1070039,SKU 1,,20
1070039,SKU 2,,150
1070039,SKU 3,,110
1070039,SKU 7,,130
1070039,SKU 8,,210
1070039,SKU 9,,200
1070039,SKU 25,,120
1070039,SKU 10,,110
1070039,SKU 11,,150
1070039,SKU 12,,180
1070039,SKU 13,,90
1070039,SKU 31,,10
1070039,SKU 19,,20
1070039,SKU 14,,1
1070039,SKU 15,,90
1070039,SKU 20,,20
1070040,SKU 1,,20
1070040,SKU 28,,5
1070040,SKU 2,,30
1070040,SKU 3,,20
1070040,SKU 5,,10
1070040,SKU 6,,5
1070040,SKU 7,,40
1070040,SKU 22,,5
1070040,SKU 24,,5
1070040,SKU 8,,200
1070040,SKU 9,,250
1070040,SKU 10,,50
1070040,SKU 11,,110
1070040,SKU 12,,25
1070040,SKU 13,,80
1070040,SKU 17,,10
1070040,SKU 19,,60
1070040,SKU 14,,85
1070040,SKU 15,,22
1070040,SKU 20,,30
1070049,SKU 1,,50
1070049,SKU 2,,70
1070049,SKU 3,,60
1070049,SKU 16,,10
1070049,SKU 7,,110
1070049,SKU 22,,10
1070049,SKU 8,,191
1070049,SKU 9,,171
1070049,SKU 10,,40
1070049,SKU 11,,51
1070049,SKU 12,,71
1070049,SKU 13,,91
1070049,SKU 18,,50
1070049,SKU 14,,1
1070049,SKU 15,,111
1070049,SKU 20,,10
1070070,SKU 1,,151
1070070,SKU 2,,441
1070070,SKU 3,,121
1070070,SKU 5,,2
1070070,SKU 16,,21
1070070,SKU 6,,1
1070070,SKU 7,,351
1070070,SKU 22,,1
1070070,SKU 24,,1
1070070,SKU 8,,550
1070070,SKU 9,,751
1070070,SKU 25,,101
1070070,SKU 10,,291
1070070,SKU 11,,331
1070070,SKU 12,,401
1070070,SKU 13,,161
1070070,SKU 17,,1
1070070,SKU 18,,51
1070070,SKU 19,,1
1070070,SKU 14,,201
1070070,SKU 15,,221
1070070,SKU 20,,30
1070072,SKU 1,,40
1070072,SKU 28,,30
1070072,SKU 2,,130
1070072,SKU 3,,110
1070072,SKU 32,,25
1070072,SKU 27,,50
1070072,SKU 29,,50
1070072,SKU 4,,20
1070072,SKU 21,,20
1070072,SKU 5,,10
1070072,SKU 16,,30
1070072,SKU 6,,10
1070072,SKU 7,,140
1070072,SKU 24,,10
1070072,SKU 8,,60
1070072,SKU 9,,160
1070072,SKU 25,,80
1070072,SKU 10,,50
1070072,SKU 11,,120
1070072,SKU 12,,150
1070072,SKU 13,,100
1070072,SKU 31,,20
1070072,SKU 17,,10
1070072,SKU 18,,120
1070072,SKU 19,,20
1070072,SKU 14,,90
1070072,SKU 15,,120
1070072,SKU 20,,20
1070073,SKU 2,,180
1070073,SKU 7,,260
1070073,SKU 9,,310
1070073,SKU 12,,500
1070073,SKU 14,,230
1070073,SKU 15,,180
1070080,SKU 1,,131
1070080,SKU 2,,321
1070080,SKU 3,,241
1070080,SKU 5,,22
1070080,SKU 16,,91
1070080,SKU 6,,21
1070080,SKU 7,,491
1070080,SKU 22,,21
1070080,SKU 24,,61
1070080,SKU 8,,860
1070080,SKU 9,,1061
1070080,SKU 25,,491
1070080,SKU 10,,151
1070080,SKU 11,,421
1070080,SKU 12,,441
1070080,SKU 13,,441
1070080,SKU 17,,101
1070080,SKU 18,,81
1070080,SKU 19,,41
1070080,SKU 26,,20
1070080,SKU 14,,561
1070080,SKU 15,,441
1070080,SKU 20,,40
1070082,SKU 1,,60
1070082,SKU 2,,30
1070082,SKU 3,,150
1070082,SKU 16,,40
1070082,SKU 6,,20
1070082,SKU 7,,300
1070082,SKU 8,,320
1070082,SKU 9,,540
1070082,SKU 10,,220
1070082,SKU 11,,230
1070082,SKU 12,,150
1070082,SKU 13,,210
1070082,SKU 17,,20
1070082,SKU 18,,20
1070082,SKU 14,,180
1070082,SKU 15,,255
1070082,SKU 20,,150
1070084,SKU 1,,70
1070084,SKU 28,,30
1070084,SKU 2,,120
1070084,SKU 3,,10
1070084,SKU 29,,25
1070084,SKU 4,,12
1070084,SKU 21,,28
1070084,SKU 5,,10
1070084,SKU 16,,20
1070084,SKU 6,,30
1070084,SKU 7,,270
1070084,SKU 8,,120
1070084,SKU 9,,150
1070084,SKU 25,,90
1070084,SKU 10,,80
1070084,SKU 11,,140
1070084,SKU 12,,160
1070084,SKU 13,,120
1070084,SKU 17,,20
1070084,SKU 18,,10
1070084,SKU 19,,40
1070084,SKU 14,,20
1070084,SKU 15,,60
1070085,SKU 1,,70
1070085,SKU 28,,30
1070085,SKU 2,,130
1070085,SKU 3,,100
1070085,SKU 4,,8
1070085,SKU 21,,8
1070085,SKU 5,,10
1070085,SKU 7,,260
1070085,SKU 22,,10
1070085,SKU 8,,310
1070085,SKU 9,,240
1070085,SKU 25,,220
1070085,SKU 10,,250
1070085,SKU 11,,170
1070085,SKU 12,,170
1070085,SKU 13,,240
1070085,SKU 31,,4
1070085,SKU 17,,30
1070085,SKU 18,,10
1070085,SKU 19,,20
1070085,SKU 14,,130
1070085,SKU 15,,80
1070085,SKU 20,,10
1070091,SKU 1,,51
1070091,SKU 2,,81
1070091,SKU 3,,51
1070091,SKU 4,,5
1070091,SKU 21,,5
1070091,SKU 5,,2
1070091,SKU 16,,31
1070091,SKU 6,,21
1070091,SKU 7,,91
1070091,SKU 22,,1
1070091,SKU 24,,1
1070091,SKU 8,,100
1070091,SKU 9,,106
1070091,SKU 25,,71
1070091,SKU 10,,1
1070091,SKU 11,,1
1070091,SKU 12,,41
1070091,SKU 13,,61
1070091,SKU 17,,1
1070091,SKU 18,,1
1070091,SKU 19,,1
1070091,SKU 14,,21
1070091,SKU 15,,71
1070091,SKU 20,,5
1075053,SKU 1,,10
1075053,SKU 28,,5
1075053,SKU 2,,20
1075053,SKU 5,,5
1075053,SKU 7,,25
1075053,SKU 24,,5
1075053,SKU 8,,90
1075053,SKU 9,,50
1075053,SKU 10,,50
1075053,SKU 11,,40
1075053,SKU 12,,10
1075053,SKU 13,,30
1075053,SKU 18,,15
1075053,SKU 14,,5
1075053,SKU 15,,11
1075058,SKU 1,,30
1075058,SKU 28,,10
1075058,SKU 2,,130
1075058,SKU 3,,80
1075058,SKU 21,,11
1075058,SKU 16,,5
1075058,SKU 6,,10
1075058,SKU 7,,130
1075058,SKU 22,,5
1075058,SKU 8,,170
1075058,SKU 9,,70
1075058,SKU 10,,370
1075058,SKU 11,,30
1075058,SKU 12,,10
1075058,SKU 13,,15
1075058,SKU 18,,10
1075058,SKU 14,,20
1075058,SKU 15,,90
1075059,SKU 3,,10
1075059,SKU 7,,5
1075059,SKU 8,,20
1075059,SKU 10,,25
1075059,SKU 11,,30
1075059,SKU 13,,1
1075059,SKU 15,,6
1075126,SKU 1,,5
1075126,SKU 2,,10
1075126,SKU 4,,5
1075126,SKU 21,,5
1075126,SKU 5,,5
1075126,SKU 7,,5
1075126,SKU 8,,60
1075126,SKU 9,,20
1075126,SKU 11,,65
1075126,SKU 12,,25
1075126,SKU 13,,5
1191061,SKU 1,,10
1191061,SKU 2,,40
1191061,SKU 3,,40
1191061,SKU 21,,2
1191061,SKU 7,,10
1191061,SKU 8,,60
1191061,SKU 9,,30
1191081,SKU 1,,10
1191081,SKU 2,,20
1191081,SKU 3,,50
1191081,SKU 6,,5
1191081,SKU 7,,20
1191081,SKU 8,,10
1191081,SKU 9,,20
1191081,SKU 10,,120
1191081,SKU 11,,20
1191081,SKU 13,,30
1191081,SKU 14,,1
1191081,SKU 15,,10
1191102,SKU 1,,10
1191102,SKU 2,,25
1191102,SKU 3,,15
1191102,SKU 5,,20
1191102,SKU 16,,10
1191102,SKU 7,,20
1191102,SKU 22,,20
1191102,SKU 24,,5
1191102,SKU 8,,140
1191102,SKU 9,,75
1191102,SKU 10,,15
1191102,SKU 11,,130
1191102,SKU 12,,40
1191102,SKU 13,,25
1191102,SKU 14,,22
1191102,SKU 15,,33
1721223,SKU 1,,10
1721223,SKU 2,,20
1721223,SKU 3,,30
1721223,SKU 7,,10
1721223,SKU 8,,110
1721223,SKU 9,,50
1721223,SKU 10,,40
1721223,SKU 11,,70
1721223,SKU 12,,20
1721223,SKU 13,,5
1721223,SKU 14,,10
1721223,SKU 15,,10
1721257,SKU 3,,20
1721257,SKU 6,,10
1721257,SKU 7,,100
1721257,SKU 8,,91
1721257,SKU 9,,91
1721257,SKU 10,,60
1721257,SKU 11,,81
1721257,SKU 12,,51
1721257,SKU 13,,91
1721257,SKU 14,,31
1721257,SKU 15,,51
1730165,SKU 1,,10
1730165,SKU 2,,120
1730165,SKU 7,,60
1730165,SKU 8,,130
1730165,SKU 9,,140
1730165,SKU 10,,60
1730165,SKU 11,,100
1730165,SKU 12,,90
1730165,SKU 13,,70
1730165,SKU 17,,10
1730165,SKU 14,,30
1730165,SKU 15,,50
1730165,SKU 20,,40
1730201,SKU 3,,10
1730201,SKU 7,,10
1730201,SKU 8,,20
1730201,SKU 9,,20
1730201,SKU 13,,10
1730201,SKU 14,,10
1730201,SKU 15,,1
1730206,SKU 16,,10
1730206,SKU 7,,25
1730206,SKU 8,,30
1730206,SKU 9,,30
1730206,SKU 10,,5
1730206,SKU 11,,10
1730206,SKU 12,,20
1730206,SKU 13,,20
1730206,SKU 14,,30
1730206,SKU 15,,10
1791012,SKU 2,,5
1791012,SKU 8,,60
1791012,SKU 9,,25
1791012,SKU 10,,10
1791012,SKU 11,,15
1791012,SKU 12,,5
1791012,SKU 13,,15
1791012,SKU 14,,1
1791012,SKU 15,,10
1791017,SKU 2,,30
1791017,SKU 8,,30
1791017,SKU 10,,10
1791017,SKU 11,,10
1791017,SKU 12,,10
1791017,SKU 13,,10
1791017,SKU 14,,1
1791017,SKU 15,,1
1791049,SKU 7,,10
1791049,SKU 8,,10
1791049,SKU 9,,10
1791049,SKU 11,,30
1791049,SKU 13,,20
1791049,SKU 19,,10
1791049,SKU 15,,10
1820009,SKU 1,,80
1820009,SKU 28,,10
1820009,SKU 2,,50
1820009,SKU 3,,50
1820009,SKU 27,,25
1820009,SKU 29,,25
1820009,SKU 5,,5
1820009,SKU 16,,20
1820009,SKU 6,,15
1820009,SKU 7,,120
1820009,SKU 22,,20
1820009,SKU 24,,5
1820009,SKU 8,,210
1820009,SKU 9,,320
1820009,SKU 25,,160
1820009,SKU 10,,20
1820009,SKU 11,,130
1820009,SKU 12,,180
1820009,SKU 13,,60
1820009,SKU 17,,15
1820009,SKU 18,,15
1820009,SKU 19,,5
1820009,SKU 14,,100
1820009,SKU 15,,50
1820009,SKU 20,,35
1820018,SKU 2,,400
1820018,SKU 4,,40
1820018,SKU 7,,450
1820018,SKU 8,,250
1820018,SKU 9,,350
1820018,SKU 25,,200
1820018,SKU 10,,250
1820018,SKU 11,,105
1820018,SKU 12,,300
1820018,SKU 13,,150
1820018,SKU 14,,105
1820018,SKU 15,,55
1820024,SKU 1,,131
1820024,SKU 2,,261
1820024,SKU 3,,191
1820024,SKU 29,,50
1820024,SKU 21,,12
1820024,SKU 5,,2
1820024,SKU 16,,21
1820024,SKU 6,,1
1820024,SKU 7,,251
1820024,SKU 22,,1
1820024,SKU 24,,1
1820024,SKU 8,,380
1820024,SKU 9,,401
1820024,SKU 25,,151
1820024,SKU 10,,251
1820024,SKU 11,,201
1820024,SKU 12,,211
1820024,SKU 13,,261
1820024,SKU 17,,1
1820024,SKU 18,,1
1820024,SKU 19,,1
1820024,SKU 26,,5
1820024,SKU 14,,191
1820024,SKU 15,,251
1820024,SKU 20,,60
1820057,SKU 1,,70
1820057,SKU 28,,10
1820057,SKU 2,,150
1820057,SKU 3,,110
1820057,SKU 5,,20
1820057,SKU 16,,90
1820057,SKU 6,,70
1820057,SKU 7,,100
1820057,SKU 22,,70
1820057,SKU 24,,80
1820057,SKU 8,,390
1820057,SKU 9,,490
1820057,SKU 25,,290
1820057,SKU 10,,80
1820057,SKU 11,,380
1820057,SKU 12,,160
1820057,SKU 13,,170
1820057,SKU 17,,70
1820057,SKU 18,,40
1820057,SKU 19,,10
1820057,SKU 26,,5
1820057,SKU 14,,160
1820057,SKU 15,,190
1820057,SKU 20,,5
1820057,SKU 23,,10
2070040,SKU 1,,10
2070040,SKU 6,,10
2070040,SKU 8,,40
2070040,SKU 9,,40
2070040,SKU 10,,40
2070040,SKU 11,,10
2070040,SKU 14,,22
2070040,SKU 15,,1
2070043,SKU 2,,10
2070043,SKU 7,,5
2070043,SKU 8,,41
2070043,SKU 9,,6
2070043,SKU 11,,1
2070043,SKU 12,,1
2070043,SKU 13,,11
2070043,SKU 14,,1
2070043,SKU 15,,1
2070044,SKU 1,,40
2070044,SKU 2,,30
2070044,SKU 3,,10
2070044,SKU 7,,20
2070044,SKU 8,,91
2070044,SKU 9,,91
2070044,SKU 11,,91
2070044,SKU 12,,41
2070044,SKU 13,,21
2070044,SKU 14,,1
2070044,SKU 15,,44
2080041,SKU 1,,20
2080041,SKU 3,,5
2080041,SKU 8,,25
2080041,SKU 9,,20
2080041,SKU 10,,45
2080041,SKU 11,,5
2080041,SKU 12,,10
2080041,SKU 13,,30
2080041,SKU 19,,15
2080041,SKU 14,,26
2080041,SKU 15,,17
2080043,SKU 22,,5
2080043,SKU 8,,5
2080043,SKU 9,,15
2080043,SKU 12,,5
2080043,SKU 15,,1
2090008,SKU 1,,20
2090008,SKU 8,,21
